Track_Title,Key_Signature
"Dettingen Te Deum in D Major, HWV 283: Vouchsafe, O Lord, to Keep Us This Day ",D Major
"Melodisch-Kontrapunktische Studien, Op. 137b: No. 3, Prelude in G major ",G major
"20 Ayres: No. 10, Corant in D Major ",D Major
Chansons cachées: III. For Elizabeth Dworkin and Michael Boriskin , 
Mazurka No. 3 in E Minor ,E Minor
"Little Songs, Series 4: No. 6, Allegro in A-Flat Major ",A-Flat Major
"Orchestral Suite in E Minor, GWV 442: V. Alt ",E Minor
"Waltzes, Op. 34: No. 2 in A Minor ",A Minor
"Oboe d'amore Concerto in A Major, BWV 1055R: I. Allegro ",A Major
"Viola da gamba Sonata in D Major, Wq. 137 ",D Major
"Keyboard Partita No. 2 in c minor, BWV 826: III. Allemande ",c minor
"Piano Concerto No. 22 in E-Flat Major, K. 482: III. Allegro ",E-Flat Major
"Violin Sonata in A Minor, Op. 137 No. 2, D. 385: II. Andante ",A Minor
"Piano Sonata No. 11 in A Major, K. 331: II. Menuetto - Trio ",A Major
"Concertone in C Major, K. 190: I. Allegro spiritoso ",C Major
Clarinet Sonatina in B-Flat Major ,B-Flat Major
"24 Préludes, Op. 11: No. 11 in B major ",B major
"Piano Trio No. 1 in B-Flat Major, Op. 99, D. 898: IV. Rondo. Allegro vivace ",B-Flat Major
"24 Préludes, Op. 28: No. 2 in A Minor. Lento ",A Minor
"Sonata à 5 No. 5 in B-Flat Major, Op. 2 No. 9: III. Grave ",B-Flat Major
"Violin Sonata No. 1 in B♭ major, Op. 5, G. 25: III. Presto assai ",B♭ major
"19 Hungarian Rhapsodies, S. 244: No. 13 in A Minor ",A Minor
"Violin Sonata in C-Sharp Minor, Op. 21: I. Allegro appassionato ",C-Sharp Minor
"Grand Symphony in F Major, Op. 8 No. 2, Br. 44: II. Allegro non troppo ",F Major
"Concerto for Oboe & Violin in C minor, TWV 52:c1 ",C minor
"Violin Sonatina in D Major, Op. 46: III. Allegro moderato - Lento ",D Major
Cello Concerto in A Major: III. Allegro assai ,A Major
"Sinfonia in F Major, Wq. 183 No. 3: III. Presto ",F Major
"Violin Concerto No. 2 in F Major, Op. 86: III. Allegro giocoso ",F Major
"Keyboard Sonata in E-Flat Major, Wq. 63 No. 5: III. Allegretto ",E-Flat Major
15 Préludes in A minor ,A minor
"Piano Trio in E-Flat Major, Op. 2 ",E-Flat Major
"Serenade in D Major, Op. 25: IV. Andante con variazioni ",D Major
"Piano Sonatina in A minor, Op. 88 No. 3: II. Andantino ",A minor
"8 Minuets, K. 315a: No. 1 in C Major ",C Major
"24 Préludes & Fugues, Op. 87: Fugue No. 24 in D Minor ",D Minor
"8 Minuets, K. 315a: No. 7 in A Major ",A Major
"Flute Sonata in G Major, Op. 2 No. 6: III. Minuetto ",G Major
"Nabucco, Act I: Tremin gl'insani del mio furore! ", 
"String Quartet No. 6 in D Major, D. 74: I. Allegro ma non troppo ",D Major
"Violin Sonata in G Minor, H. 524.5: II. Adagio [Arr. for Recorder, Viola da gamba & Harpsichord] ",G Minor
"Flute Sonata in B Minor, BWV 1030: I. Andante ",B Minor
Piano Sonata No. 4 in G Minor: IV. Rondo. Allegrissimo ,G Minor
"Trio Sonata in E Major, GWV 208 ",E Major
"String Quartet in C Major, Op. 1 No. 6, Hob. III:6: III. Adagio ",C Major
Trumpet Sonata in D Minor: I. Adagio ,D Minor
"Piano Sonata No. 3 in D minor, Op. 57 ""Norse"": II. Tristamente, ma con tenerezza ",D minor
"Neuer Clavier-Übung, Vol. 2, Sonata in B-Flat Major: I. — ",B-Flat Major
"Violin Sonata in E Minor, Op. 38 No. 1 ",E Minor
"Pièces de clavecin, Book 3, 15th Ordre in A Minor-major: III. L'evaporée ",A Minor
"Symphony No. 5 in E Minor, Op. 64, TH 29: I. Andante - Scherzo - Allegro con anima ",E Minor
"Recorder Sonata in D Major, TWV 41:D7: I. Andante ",D Major
"Symphony No. 6 in G Major, Op. 116: IV. Allerneueste Periode, 1840, Finale. Allegro vivace ",G Major
"Violin Sonata in D Major, Op. 1 No. 13, HWV 371: I. Affettuoso ",D Major
"L'arte del violino, Violin Concerto in F Major, Op. 3 No. 10: II. Largo ",F Major
"Violin Concerto in G Minor, RV 319 ",G Minor
"Bassoon Concerto in E Minor, RV 484 ",E Minor
"Symphony No. 5 in B-Flat Major, D. 485 ",B-Flat Major
"Piano Concerto No. 2 in B-Flat Major, Op. 18: I. Mäßig bewegt ",B-Flat Major
"21 Hungarian Dances, WoO 1: No. 6, Vivace in D-Flat Major ",D-Flat Major
"40 Easy Études, Op. 70: No. 23 in F major ",F major
"Violin Sonata No. 1 in G Major, Op. 78 ""Regen"": I. Vivace, ma non troppo ",G Major
"Sinfonia in F Major, Wq. 183 No. 3: II. Larghetto ",F Major
"Keyboard Trio No. 17 in F major, Hob. XV:17: I. Allegro ",F major
"Morning, Communion & Evening Services in B♭ major, Op. 10: Jubilate Deo ",B♭ major
"Piano Sonata No. 17 in D Minor, Op. 31 No. 2 ""The Tempest"": III. Allegretto ",D Minor
"Nocturne in F-Sharp minor, Op. 48 No. 2 ",F-Sharp minor
"24 Préludes, Op. 28: No. 17 in A♭ major ",A♭ major
"Deutsche Tänze, Heft 2, Op. 7: No. 6 in D major. Forte ",D major
"Symphony No. 2 in D major, Op. 36: I. Adagio molto - Allegro con brio ",D major
"Pièces de viole, Suite No. 5 in C Minor: I. La Rameau ",C Minor
"Polonaise No. 7 in A-Flat Major, Op. 61 ""Polonaise-fantaisie"" ",A-Flat Major
"5 Contredanses, K. 609: No. 4 in C Major ",C Major
"Prelude in F major, BuxWV 144 ",F major
"String Quartet No. 20 in D Major, K. 499 ""Hoffmeister"": I. Allegretto ",D Major
"Violin Concerto in F Minor, Op. 40 ",F Minor
Tarantella in A minor ,A minor
"Keyboard Sonata in B Minor, Wq. 55 No. 3: III. Cantabile ",B Minor
Keyboard Sonata No. 18 in B-Flat Major ,B-Flat Major
"Organ Concerto in D Minor, Op. 15: II. Andantino ",D Minor
"Trumpet Sonata in D Major, D XI 6 ",D Major
"Cello Sonata in B-Flat Minor, Op. 27 ",B-Flat Minor
"Pièces de clavecin, Suite in E Minor, RCT 2: VIII. Tambourin ",E Minor
Magnificat & Nunc dimittis in E Major: Nunc dimittis ,E Major
Recorder Concerto No. 5 in D major ,D major
"Pièces de clavecin, Book 3, 17th Ordre in E Minor: No. 3, Les timbres ",E Minor
"Morning, Communion & Evening Services in B-Flat Major, Op. 10 ",B-Flat Major
"Lieder ohne Worte, Book 8, Op. 102: No. 5 in A Major, MWV U194 ""Kinderstück"" ",A Major
"Organ Sonata No. 3 in G Major, Op. 88 ""Pastoral"": II. Intermezzo ",G Major
"Oboe d'amore Concerto in A Major, BWV 1055: I. Allegro ",A Major
"Symphony No. 40 in G Minor, K. 550: III. Menuetto. Allegretto ",G Minor
Mazurka in A-Flat Major ,A-Flat Major
"Organ Concerto in G Minor, Op. 4 No. 3, HWV 291: II. Allegro ",G Minor
Early in the Morning , 
"Sinfonia No. 6 in E-Flat Major, MWV N6: I. Allegro ",E-Flat Major
"Violin Concerto in G Major, Op. 7/ii No. 2, RV 299: II. Largo ",G Major
"Symphony No. 2 in D Major, Op. 11: I. Moderato ",D Major
"Livre de guitarre et autres pièces de musique, Suite in D Major: VII. Menuet ",D Major
Piano Sonata in F Major: II. Andantino ,F Major
"Violin Sonata No. 1 in D major, Op. 12 No. 1: III. Rondo. Allegro ",D major
"Prelude & Fugue in F Major, BWV 901 ",F Major
"String Trio in D Minor, Op. 29: I. Allegro moderato ",D Minor
"Violin Concerto in A Major, Op. 101 ",A Major
"Symphony No. 99 in E♭ major, Hob. I:99: IV. Finale. Vivace ",E♭ major
"Keyboard Sonata in D Minor, Wq. 62 No. 4: III. Presto ",D Minor
"Harpsichord Sonata No. 1 in E flat Major, BeRI 225: III. Non tanto ",E flat Major
"Symphony No. 96 in D Major, Hob. I:96 ""Miracle"": I. Adagio ",D Major
"7 Fantasies, Op. 116: No. 6, Intermezzo in E Major. Andantino teneramente ",E Major
24 Préludes & Fugues: Prelude No. 17 in A# Major ,A# Major
"String Quartet in F Minor, Op. 55 No. 2, Hob. III:61 ""Razor"": II. Allegro ",F Minor
"Keyboard Suite No. 7 in G Minor, HWV 432: IV. Sarabande ",G Minor
"Piano Quintet in C minor, Op. 16: III. Allegro moderato ",C minor
"String Quartet in E♭ major, Op. 20 No. 1, Hob. III:31: III. Affettuoso e sostenuto ",E♭ major
Violin Sonata No. 3 in D Minor: I. Largo - Spiritoso - Largo - Spiritoso ,D Minor
"Oboe Quartet in F Major, Op. 37 ",F Major
"Mystery Sonata No. 11 in G Major ""Resurrection"" ",G Major
"Symphony in B Minor, L. 10: I. Allegro ben marcato ",B Minor
"Mass No. 14 in B-Flat Major, Hob. XXII:14 ""Harmoniemesse"": V. Benedictus ",B-Flat Major
"Invention in D Major, Op. 10 No. 7 ",D Major
10 Études: No. 4 in E major. Adagio cantabile ,E major
"Sonata No. 5 for Violin & Harpsichord in F Minor, BWV 1018: III. Adagio ",F Minor
"Concerto a 2 cori No. 1 in B-Flat Major, HWV 332: IV. Largo ",B-Flat Major
"Suite in A minor, RCT 5: No. 18, Les triolets ",A minor
"String Quartet in E-Flat Major, Op. 71 No. 3, Hob. III:71 ",E-Flat Major
"Concerto grosso in G Minor, Op. 6 No. 8 ""Christmas Concerto"": V. Allegro ",G Minor
"Symphony No. 3 in c minor, Op. 78, R. 176 ""Organ Symphony"": Ib. Poco adagio ",c minor
L'art de toucher le clavecin: Prélude No. 5 in A Major ,A Major
"6 Transformations: No. 1, Original ", 
"Violin Sonata No. 9 in C minor, Op. 139: I. Con passione ",C minor
"Piano Sonatina in G Major, Op. 61: III. Allegretto ",G Major
"Piano Trio in D Major, Op. 27 ",D Major
"Keyboard Concerto in D minor, Wq. 23, H. 427: I. Allegro ",D minor
"Fantasy No. 6 in D Minor, TWV 40:7 ",D Minor
Violin Concerto No. 7 in G Major: I. Adagio ,G Major
"String Quartet No. 10 in A-Flat Major, Op. 118: IV. Allegretto ",A-Flat Major
"Pièces de viole, Suite No. 5 in C Minor: II. La Guignon ",C Minor
"Pièces de clavecin, Book 3, 16th Ordre in G Major-Minor: VI. La distraite ",G Major
"Concerto in the Italian Style in F Major, BWV 971: I. Allegro ",F Major
"Romance in E-Flat Major, Op. 44 No. 1 ",E-Flat Major
"Violin Concerto in B Minor, Op. 34 ",B Minor
"Prelude & Fugue in F Minor, Op. 68 No. 3: Prelude ",F Minor
"Keyboard Sonata in F Major, Wq. 65 No. 19, H. 49: II. Andantino ",F Major
"Trio Sonata in G Major, BWV 1039 ",G Major
"Organ Sonata in C Minor, Op. 65 No. 2, MWV W57: I. Adagio ",C Minor
"Suite de pieces in A major, Op. 35 No. 6: IV. Gaiment ",A major
"Keyboard Sonata in C Major, Wq. 53 No. 5 ",C Major
Keyboard Sonata No. 20 in A Minor ,A Minor
"Oboe Sonata in C Minor, RV 53: I. Adagio ",C Minor
"Trio No. 2 in C Major, Op. 42: IV. Polonaise. Moderato ",C Major
"Piano Sonata No. 2 in G minor, Op. 22: Urspungliches Finale. Presto ",G minor
"Concerto for Recorder, 2 Violins & Basso continuo in C Major: I. Adagio ",C Major
"Piano Quintet in E-Flat Major, K. 452: III. Rondo. Allegretto ",E-Flat Major
"Sonata for 2 Keyboards in G Major, Op. 15 No. 5, W. A21: II. Tempo di minuetto ",G Major
"Trio Sonata in G major, BWV 1039 [Excerpts]: I. Adagio ",G major
"Pièces de clavecin, Book 1, 3rd Ordre in C Major-minor: Les regrets ",C Major
"Lieder ohne Worte, Book 5, Op. 62: No. 5 in A Minor, MWV U151 ""Venetianisches Gondellied"" ",A Minor
"Keyboard Sonata in A major, Wq. 63/3, H. 72 ",A major
"Violin Sonata No. 9 in A Major, Op. 47 ""Kreutzer"": I. Adagio sostenuto - Presto ",A Major
"String Quartet in C Major, Op. 20 No. 2, Hob. III:32: III. Menuetto. Allegretto ",C Major
"Violin Partita No. 1 in B Minor, BWV 1002: VIII. Double ",B Minor
"Keyboard Suite in D Minor, HWV 449: II. Allemande ",D Minor
Recorder Concerto in D Minor: I. Amoroso ,D Minor
"Keyboard Sonata in E Minor, Wq. 65 No. 4: III. Adagio non molto ",E Minor
"Cello Suite in A minor, Op. 131c No. 3: II. Scherzo. Vivace ",A minor
"Sonata à 4 No. 8 in G Minor, Z. 809: II. Grave - Largo - Vivace ",G Minor
"Pièces de viole, Book 1, Suite in D Minor for 2 Viols & Continuo: II. Allemande ",D Minor
"Keyboard Sonata in B-Flat Major, Wq. 50 No. 5 ",B-Flat Major
"Sonatina for 2 Pianos in A Minor, Op. 122 ",A Minor
"The Well-Tempered Clavier, Book 1: Prelude & Fugue No. 9 in E Major, BWV 854 ",E Major
"Symphony No. 7 in D Minor, Op. 70, B. 141: III. Scherzo. Vivace - Poco meno mosso ",D Minor
"Piano Concerto No. 4 in D Minor, Op. 70: III. Allegro ",D Minor
"Keyboard Concerto in B minor, BWV 979: I. - Allegro ",B minor
Suonata à 4 mani in F Major: I. Allegro moderato ,F Major
"Piano Sonata No. 8 in A Minor, K. 310: I. Allegro maestoso ",A Minor
"Symphony No. 93 in D Major, Hob. I:93: IV. Finale. Presto ma non troppo ",D Major
"Piano Concerto No. 20 in D Minor, K. 466: I. Allegro ",D Minor
"Trio for Violin, Horn & Piano in E flat Major, Op. 40: IV. Finale. Allegro con brio ",E flat Major
