Raw_Track_Title,Clean_TrackTitle
"The Four Seasons, Concerto No. 1 for Violin, Strings and Cembalo, in E Major, Op. 8, Spring: I. III. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Op.8 (from 'Il cimento dell'armonia e dell'inventione'), Concerto No. 2 in G Minor, RV 315 (Op. 8 No. 2) 'L'estate': III. Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"The Four Seasons, Violin Concerto No. 1 in E Major, RV 269 ""La primavera"": II. Largo ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Concerto No. 2 in G Minor, RV 315 'L'estate': II. Adagio ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": II. Adagio - Presto"
"Concerto For Violin And Strings in G Minor, Op. 8, No. 2, R.315 ""L'estate"": 1. Allegro non molto - Allegro ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": I. Allegro non moto"
﻿Violin Concerto Op.8 No.4 in f “L'Inverno” (Winter) RV 297: III. Allegro ,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"Four Seasons, Op.8, Summer: Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Concerto for Violin and Strings in F Minor, Op. 8, No. 4, R.297 ""L'inverno"": 1. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"The Four Seasons, Concerto No. 1 in E Major, Op. 8, RV 269 ""Spring"": I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The 4 Seasons: Violin Concerto in F Minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"Concerto No. 1 in E major, Op. 8, RV 269, "" Vivaldi La primavera"" (Spring) III. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto in G minor, RV 315 L'Estate - Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"The Four Seasons, Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Die vier Jahreszeiten, Op. 8, Concerto No. 1 in E Major, RV 269 ""Der Frühling"" ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"Concerto Nr.4 In F Minor Op. 8, No. 4, RV 297 - ""L'inverno"" (""Winter""):II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"‘Le quattro stagioni’ (‘The Four Seasons’): Concerto, Op. 8 No. 3, RV 293 ‘L’autunno’ in F major (‘Autumn’): II. Adagio molto ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
"The Four Seasons - Violin Concerto in F Minor, Op. 8, No. 4, RV 297 - ""Winter"": II. Largo ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo"
"The Four Seasons (Le quattro stagioni), Op. 8 - Violin Concerto No. 2 in G Minor, RV 315, ""Summer"" (L'estate): III. Presto ","The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
"Le quattro stagioni, Violin Concerto No. 4 in F Minor, RV 297 ""L'inverno"": I. Allegro non molto ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"
"Concerto No. 4 in F minor, Op. 8, RV 297, "" Vivaldi L'inverno"" (Winter) III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"The Four Seasons – Concerto in E Major, RV 269 ""Spring"": I. Allegro ","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"": I. Allegro"
"The Four Seasons, Op. 8, Violin Concerto No. 4 in F Minor, RV 297 ""Winter"": III. Allegro ","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": III. Allegro"
"Concerto for Violin and Strings in F, Op. 8, No. 3, R. 293 - ""L'Autunno"": II. Adagio molto (Ubriachi dormienti) ","The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto"
