Work_ID,Work_Name,Movement_Name,Track Title
263,"Cantiga No. 10 ""Rosa das rosas""",,
435,Piano Trio in F-Sharp Minor,I. Largo,
435,Piano Trio in F-Sharp Minor,II. Andante,
439,"Oboe Concerto in B-Flat Major, Wq. 164",II. Largo e mesto,
440,"Flute Sonata in A Minor, Wq. 132 (Arr. for Oboe)",II. Allegro,
445,"Sinfonia in B Minor, Wq. 182 No. 5",III. Presto,
452,"Keyboard Sonata in G Major, Wq. 65 No. 48",I. Andantino,
500,"Prelude & Fugue in D Major, BWV 532",Prelude,
501,"Concerto for 2 Violins in D Minor, BWV 1043",III. Allegro,
505,"Orchestral Suite No. 2 in B Minor, BWV 1067",V. Polonaise,
505,"Orchestral Suite No. 2 in B Minor, BWV 1067",VII. Badinerie,
649,"The Well-Tempered Clavier, Book 2","Fugue No. 2 in C Minor, BWV 871",
649,"The Well-Tempered Clavier, Book 2","Fugue No. 16 in G Minor, BWV 885",
649,"The Well-Tempered Clavier, Book 2","Prelude No. 6 in D Minor, BWV 875a",
711,"Musikalisches Opfer, Op. 6, BWV 1079, Sonata sopra il Soggetto Reale",II. Allegro,
746,"The Well-Tempered Clavier, Book 1","Fugue No. 5 in D Major, BWV 850",
746,"The Well-Tempered Clavier, Book 1","Fugue No. 24 in B Minor, BWV 869",
746,"The Well-Tempered Clavier, Book 1","Prelude No. 5 in D Major, BWV 850",
746,"The Well-Tempered Clavier, Book 1","Prelude No. 16 in G Minor, BWV 861",
746,"The Well-Tempered Clavier, Book 1","Fugue No. 22 in B-Flat Minor, BWV 867",
746,"The Well-Tempered Clavier, Book 1","Fugue No. 4 in C-Sharp Minor, BWV 849",
746,"The Well-Tempered Clavier, Book 1","Prelude No. 21 in B-Flat Major, BWV 866",
746,"The Well-Tempered Clavier, Book 1","Prelude No. 4 in C-Sharp Minor, BWV 849",
746,"The Well-Tempered Clavier, Book 1","Prelude & Fugue No. 3 in C-Sharp Major, BWV 848",
766,"Magnificat in D Major, BWV 243","No. 1, Magnificat anima mea",
766,"Magnificat in D Major, BWV 243a",VIII. Et misericordia,
766,"Magnificat in D Major, BWV 243a",VI. Quia fecit mihi magna,
853,Announcement (1),,
901,"Symphony No. 2 in D Major, Op. 36",III. Scherzo,
907,Broadcast Commentary,,
907,"Symphony No. 1 in C Major, Op. 21",I. Adagio molto - Allegro con brio,
907,"Symphony No. 1 in C Major, Op. 21",III. Menuetto - Allegro molto e vivace,
913,"Symphony No. 8 in F Major, Op. 93",II. Allegretto scherzando,
915,"Symphony No. 7 in A Major, Op. 92",II. Allegretto,
918,"Symphony No. 6 in F Major, Op. 68 ""Pastoral""",IV. Thunderstorm. Allegro,
918,"Symphony No. 6 in F Major, Op. 68 ""Pastoral""",II. Scene by the Brook. Andante molto mosso,
918,"Symphony No. 6 in F Major, Op. 68 ""Pastoral""",I. Awakening of Cheerful Feelings upon Arrival in the Country. Allegro ma non troppo,
923,"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica""",III. Scherzo. Allegro vivace,
951,"Symphony No. 4 in B-Flat Major, Op. 60",I. Adagio - Allegro vivace,
954,"Rondo a capriccio in G Major, Op. 129 ""Rage over a Lost Penny""",,
961,"Violin Sonata No. 1 in D Major, Op. 12 No. 1",II. Theme & Variations. Andante con moto,
1018,"The Enchantress, TH 9, Act I",Gde byla- v lugu zelenom,
1036,"Piano Concerto in D Major, Op. 61a",III. Rondo,
1155,Elizabethan Serenade,,
1160,"Carmen, WD 31","Votre toast, je peux vous le rendre ""Toreador Song""",
1165,Carmen Suite No. 1,I. Prélude,
1171,"Symphony in C Major, WD 33",II. Adagio,
1204,Vaknatten,IV. Adagio,
1221,"String Quintet in E Major, Op. 11 No. 5, G. 275",IV. Rondeau,
1263,"Symphony No. 2 in A Major, Op. 7 ""Havet""",IV. Yachting,
1325,"11 Variations on an Original Theme in D Major, Op. 21 No. 1","Var. 4, —",
1325,"11 Variations on an Original Theme in D Major, Op. 21 No. 1","Var. 9, —",
1357,"18 Liebeslieder Walzer, Op. 52a","No. 5, Die grüne Hopfenranke",
1662,3 Valses romantiques,,
1770,Milonga del Ángel,,
1834,"Tale of Tsar Saltan, Op. 57",Flight of the Bumblebee (Arr. for Violin & Piano),
1848,A Valentine out of Season,III. —,
1909,Chi passa per questa strada (Arr. for Lute),,
1936,Ravnen,,
1997,Footlights,,
2042,"Concerto grosso in D Major, Op. 6 No. 1",,
2053,"Violin Concerto in B Minor, Op. 27",I. Allegro con fuoco,
2080,Concert royaux No. 1 in G Major,I. Prelude,
2080,Concert royaux No. 1 in G Major,III. Sarabande,
2183,"Napoli, Act III",Coda,
2325,"Book of Songs, Book 1","Come Again, Sweet Love Doth Now Invite",
2561,"The Three-Cornered Hat, Pt. 1",Dance of the Miller's Wife. Fandango,
2561,"The Three-Cornered Hat, Pt. 2",Dance of the Corregidor,
2568,"Concerto for Harpsichord, Flute, Oboe, Clarinet, Violin & Cello",I. Allegro,
2623,"Barcarolle No. 4 in A-Flat Major, Op. 44",,
2626,"Dolly Suite, Op. 56 (Version for Piano Duo)",IV. Kitty valse,
2693,Nocturne & Scherzo,"I. Nocturne. Andantino languido ""A Night Piece""",
2752,Canzoni et sonate (1615),Canzon II à 6,
2833,"Concerto grosso in C Minor, Op. 2 No. 1",,
2862,Nell Gwyn Suite,Pastoral Dance,
2968,2 Poèmes-improvisations,"No. 2, Tempo agitato e rubato - Andantino quasi allegretto",
3137,Goyescas,"No. 3, El fandango de candil",
3137,"Goyescas, Op. 11","No. 2, Coloquio en la reja",
3137,"Goyescas, Op. 11","No. 3, El fandango de candil",
3150,"Heinzelmannchens Wachtparade (The Brownies' Guard Parade), Op. 5",,
3186,"Piano Sonata in E Minor, Op. 7",II. Andante molto,
3189,"Humoresques, Op. 6","No. 2, Tempo di menuetto ed energico",
3190,"Moods, Op. 73","No. 5, Study ""Hommage à Chopin""",
3191,"19 Norwegian Folk Tunes, Op. 66","No. 8, Cow-Call",
3191,"19 Norwegian Folk Tunes, Op. 66","No. 9, Small Was the Lad",
3192,"25 Norwegian Folk Tunes & Dances, Op. 17","No. 12, Solfager and the Snake King",
3192,"25 Norwegian Folk Tunes & Dances, Op. 17","No. 4, Nils Tallfjoren, the Proud Fellow",
3195,"Folkelivsbilleder, Op. 19","No. 2, Bridal Procession",
3197,"Holberg Suite, Op. 40 ""From Holberg's Time""",I. Prelude,
3363,"Messiah, HWV 56",Overture,
3363,"Messiah, HWV 56 (Excerpts Sung in German)","No. 4, Denn die Herrlichkeit Gottes, des Herrn",
3363,"Messiah, HWV 56 (Highlights)","No. 17, Glory to God in the Highest",
3363,"Messiah, HWV 56 (Highlights)","No. 14, There Were ShepherdsŁabędźng in the Field",
3363,"Messiah, HWV 56, Pt. 1",Thus Saith the Lord of Hosts,
3363,"Messiah, HWV 56, Pt. 1","For Behold, Darkness Shall Cover the Earth",
3363,"Messiah, HWV 56, Pt. 2",Hallelujah,
3363,"Messiah, HWV 56, Pt. 2",The Lord Gave the Word,
3363,"Messiah, HWV 56, Pt. 2",Their Sound Is Gone Out into All Lands,
3363,"Messiah, HWV 56, Pt. 2",He Was Cut Off out of the Land of the Living,
3363,"Messiah, HWV 56, Pt. 3",Since by Man Came Death,
3363,"Messiah, HWV 56, Pt. 3",The Trumpet Shall Sound,
3455,"Symphony No. 45 in F-Sharp Minor, Hob. I:45 ""Farewell""",IV. Finale. Presto - Adagio,
3455,"Symphony No. 48 in C Major, Hob. I:48 ""Maria Theresa""",II. Adagio,
3455,"Symphony No. 48 in C Major, Hob. I:48 ""Maria Theresa""",III. Menuetto. Allegretto,
3458,"String Quartet in D Major, Op. 71 No. 2, Hob. III:70",III. Menuetto. Allegretto,
3464,"String Quartet in D Major, Op. 1 No. 3, Hob. III:3",II. Minuet,
3467,"String Quartet in E Major, Op. 2 No. 2, Hob. III:8",II. Minuet,
3473,"String Quartet No. 25 in C Major, Op. 20 No. 2, Hob. III:32. IV. Fuga a quattro soggetti",,
3474,"String Quartet No. 28 in E-Flat Major, Op. 20 No. 1, Hob. III:31",II. Minuet. Un poco Allegretto,
3484,"String Quartet in D Minor, Op. 42, Hob. III:43",IV. Finale. Presto,
3516,"Symphony No. 101 in D Major, Hob. I:101 ""Clock""",II. Andante,
3516,"Symphony No. 101 in D Major, Hob. I:101 ""Clock""",IV. Finale. Vivace,
3540,"Symphony No. 99 in E-Flat Major, Hob. I:99",I. Adagio - Vivace assai,
3597,Leichtfüssig,,
3629,Duedronnigen (Arr. F. Hostrup),,
3687,"Viola Concerto No. 5, Op. 31",II. Andante,
3710,"Beni Mora, Op. 29 No. 1",II. Second Dance,
3841,"Capriccio, JW VII/12 ""Vzdor""",II. Adagio,
3856,Serenade,I. Giocoso - Tempo agitato,
3977,"Offrande musical sur le nom de BACH, Op. 187","IXc. Divers contrepoints d'école sur des Chant Données avec BACH. No. 2, Fleuri à 3 parties",
3979,"Sur les flots lointains, Op. 130",,
4075,"Capriccio, Op. 39",XIV. Finale,
4075,"Capriccio, Op. 39",XIII. Les regrets,
4075,"Capriccio, Op. 39",III. Marche goguenarde,
4276,"Symphony No. 2 in D Major, S. 464/2 (After L. van Beethoven)",II. Larghetto,
4282,"Années de pèlerinage II, Italy, S. 161",Piu tosto,
4282,"Années de pèlerinage II, Italy, S. 161","No. 6, Sonetto 123 del Petrarca",
4282,"Années de pèlerinage II, S. 161 ""Italie""","No. 3, Canzonetta del Salvator Rosa",
4334,"6 Chants polonais, S. 480","No. 5, Meine Freuden (After F. Chopin)",
4334,"6 Chants polonais, S. 480","No. 1, Mädchens Wunsch (After F. Chopin)",
4427,Little Suite,I. Fujarka,
4427,Little Suite,II. Hurra Polka,
4432,Paroles tissées,"No. 1, Un chat qui s'émerveille",
4439,Silesian Triptych,"No. 2, Ach, w tej studni",
4466,Galliarda Anglica,,
4678,"Festgesang, MWV D4 ""Gutenberg-Kantate""","No. 2, — (Adap. W.H. Cummings as Hark! The Herald Angels Sing) [Arr. D. Willcocks for Choir]",
4715,"Piano Sonata in G Minor, Op. 105, MWV U30",I. Allegro,
4741,"Cello Sonata No. 2 in D Major, Op. 58, MWV Q32",II. Allegretto scherzando,
4807,Cançons i Danses,"No. 6, —",
4857,"15 Études de virtuosité, Op. 72 ""Per aspera""",No. 6 in F Major,
4920,"Symphony No. 39 in E-Flat Major, K. 543",IV. Finale. Allegro,
4921,Del cabello más sutil,,
4928,"Piano Concerto No. 16 in D Major, K. 451",III. Allegro di molto,
4929,"Piano Concerto No. 19 in F Major, K. 459",II. Allegretto,
4944,"Symphony No. 40 in G Minor, K. 550",I. Molto allegro,
4944,"Symphony No. 40 in G Minor, K. 550",III. Menuetto. Allegretto,
5017,"Falstaff, Act II",Avete inteso,
5017,"Falstaff, Act II",Rammenta Annetta,
5042,"String Quintet No. 4 in G Minor, K. 516",II. Menuetto. Allegretto - Trio,
5056,"Orfeo ed Euridice, Act II","Dance of the Blessed Spirits ""Mélodie"" (Arr. I. Friedman for Piano)",
5087,"Le nozze di Figaro, K. 492",Se vuol ballare,
5087,"Le nozze di Figaro, K. 492",Deh vieni non tardar,
5087,"Le nozze di Figaro, K. 492","Voi, che sapete che cosa e amor",
5087,"Le nozze di Figaro, K. 492","Non più andrai, farfallone amoroso",
5087,"Le nozze di Figaro, K. 492, Act I","Non so più cosa son, cosa faccio",
5087,"Le nozze di Figaro, K. 492, Act I","Non più andrai, farfallone amoroso",
5087,"Le nozze di Figaro, K. 492, Act I",Se a caso madama la notte ti chiama,
5087,"Le nozze di Figaro, K. 492, Act II",Bravo! Che Bella voce!,
5087,"Le nozze di Figaro, K. 492, Act II","Porgi, amor, qualche ristoro",
5087,"Le nozze di Figaro, K. 492, Act III",E decisa la lite,
5087,"Le nozze di Figaro, K. 492, Act III",È decisa la lite,
5087,"Le nozze di Figaro, K. 492, Act III",Canzonetta sull' aria,
5087,"Le nozze di Figaro, K. 492, Act IV","Perfida, e in quella forma",
5101,"Così fan tutte, K. 588, Act I",Fuori la spada,
5101,"Così fan tutte, K. 588, Act II",Bella vita militar!,
5105,"Die Zauberflöte, K. 620",Pa-Pa-Pa-Pa-Pa-Pa-Papagena!,
5105,"Die Zauberflöte, K. 620 (Excerpts)",Dies Bildnis ist bezaubernd schön,
5168,"Wind Quintet, Op. 43, FS 100",II. Menuetto,
5173,"Little Suite for Strings, Op. 1, FS 6",III. Finale. Andante con moto,
5184,"Symphony No. 4, Op. 29, FS 76, CNW 28 ""Inextinguishable""",I. Allegro,
5292,Carmina Burana,O Fortuna,
5318,"Miscellanea, Op. 16","No. 4, Nocturne in B-Flat Major",
5319,"6 Humoresques de concert, Op. 14, Book 1 ""À l'antique""","No. 6, Cracovienne fantastique",
5319,"Humoresques de concert, Op. 14","No. 1, Menuet célèbre in G Major",
5324,"Andante varié et rondeau, Op. 155 (After L. van Beethoven)",,
5408,Histoire du Tango,II. Café 1930,
5429,"Sonate romantique ""Hommage à Schubert""","I. Allegro non troppo, semplice",
5429,"Sonate romantique ""Hommage à Schubert""",IV. Allegro non troppo e serioso,
5441,24 Preludes,No. 23 in F Major,
5444,Preludio in A Minor,,
5452,"Opera Transcriptions, Op. 45","Weber - Der Freischutz, J. 277",
5452,"Opera Transcriptions, Op. 45",Nicolai - Die lustigen Weiber von Windsor,
5452,"Sonatina concertante, Op. 28",I. Con moto mosso,
5464,"Sonata for Clarinet & Bassoon, FP 32",II. Romance. Andante très doux,
5474,"8 Nocturnes, FP 56",No. 1 in C Major,
5540,"Cello Sonata in C Major, Op. 119",I. Andante grave,
5559,"Piano Sonata No. 4 in C Minor, Op. 29",I. Allegro molto sostenuto,
5606,La bohème (Highlights),"Aranci, ninnoli!",
5606,La bohème (Highlights),"Vecchia zimarra, senti",
5606,"La bohème, SC 67",Si mi chiamano Mimi,
5606,"La bohème, SC 67",Quando me'n vo' soletta per la via,
5609,Madama Butterfly,Un bel dì vedremo,
5615,5 Preludios,"No. 4, Curda Tangueada",
5629,"Voluntary in D Minor, Z. 718",,
5664,"Piano Concerto No. 3 in D Minor, Op. 30",III. Finale. Alla breve,
5671,"Symphony No. 2 in E Minor, Op. 27",III. Adagio,
5673,"Études-tableaux, Op. 39",No. 5 in E-Flat Minor. Appassionato,
5674,"Morceaux de fantaisie, Op. 3","No. 1, Elegie in E-Flat Minor",
5674,"Morceaux de fantaisie, Op. 3","No. 5, Serenade in B-Flat Minor",
5674,"Morceaux de fantaisie, Op. 3","No. 4, Polichinelle in F-Sharp Minor",
5676,"Variations on a Theme of Corelli, Op. 42","Var. 5, Allegro",
5676,"Variations on a Theme of Corelli, Op. 42","Var. 14, Andante",
5676,"Variations on a Theme of Corelli, Op. 42","Var. 20, Più mosso",
5676,"Variations on a Theme of Corelli, Op. 42","Var. 17, Meno mosso",
5677,"Prelude in G-Sharp Minor, Op. 32 No. 12",,
5722,"Symphony No. 11 in A Minor, Op. 214 ""Der Winter""",II. Allegretto,
5736,"Pièces de clavecin avec une méthode, Suite in E Minor, RCT 2",I. Allemande,
